F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-322.0,-945.0,61.75,-89.5,1149.0,26.0,-18.25,-786.75,-254.5,-172.0,-84.75,-402.75
109.75,743.0,-237.75,-106.0,-1344.75,-234.5,-171.0,608.25,50.75,-34.0,-93.75,217.0
-311.5,-953.0,66.0,-85.75,1158.5,50.0,-0.5,-754.25,-239.75,-126.25,-85.25,-408.25
111.0,769.5,-247.75,-111.25,-1334.25,-235.0,-163.0,611.75,49.5,-40.75,-92.75,215.75
-311.75,-939.75,76.75,-60.5,1178.25,70.25,24.0,-746.0,-222.0,-126.5,-76.5,-393.25
72.0,716.25,-267.25,-136.75,-1398.75,-272.0,-212.5,547.25,8.75,-56.0,-105.25,192.5
-257.25,-917.0,92.25,-44.0,1199.25,107.5,60.0,-699.0,-191.5,-122.25,-68.25,-390.25
74.5,708.5,-281.5,-139.75,-1400.5,-323.0,-219.5,555.0,19.75,-62.0,-117.75,206.0
-262.75,-896.5,109.75,-34.75,1214.5,166.25,62.25,-708.25,-195.0,-111.5,-44.0,-392.5
68.0,679.5,-295.0,-167.0,-1432.5,-352.5,-238.25,537.0,-2.25,-86.75,-138.25,207.25
-288.5,-874.25,109.25,-83.0,1204.75,145.75,83.75,-708.75,-218.5,-70.75,-17.5,-422.5
82.0,667.0,-283.5,-139.0,-1432.75,-305.25,-261.0,539.75,16.25,-101.25,-155.0,218.0
-281.0,-852.25,98.75,-63.5,1250.25,104.0,87.25,-710.0,-212.25,-74.0,-27.0,-397.0
60.25,661.0,-274.0,-158.25,-1423.5,-284.25,-258.25,526.25,-0.5,-98.5,-152.5,193.0
-258.5,-838.75,99.5,-48.25,1285.0,95.5,88.0,-687.25,-194.5,-53.0,-21.75,-378.0
46.75,670.75,-283.0,-179.0,-1423.0,-296.25,-287.5,523.25,-13.25,-122.5,-151.5,188.0
-230.0,-825.75,95.25,-29.0,1298.0,132.0,105.25,-661.0,-168.25,-42.25,-26.0,-388.75
48.0,663.5,-290.25,-171.5,-1442.5,-338.0,-311.75,509.25,-17.75,-151.0,-157.25,203.5
