F3 Value,FC6 Value,P7 Value,T8 Value,F7 Value,F8 Value,T7 Value,P8 Value,AF4 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value,X Value,Y Value,Z Value,Unknown Value
-185600,-269232,-864576,-2576,-98208,-388800,-1472,-836352,-2832,-1483784,-308320,-1256288,-1350480,-328536,0,0,,286880
-176320,-252192,-955584,-2544,-51832,-357696,-1352,-850176,-2560,-1468408,-311600,-1409672,-1628520,-291600,0,0,,2664
-167040,-201072,-858888,-2704,-10912,-305856,-1400,-864000,-2736,-1422280,-309960,-1219768,-1676184,-295488,0,0,,190848
-177480,-209592,-693936,-2656,-32736,-305856,-1408,-1022976,-2832,-1399216,-290280,-1117512,-1461696,-303264,0,0,,867840
-182120,-277752,-750816,-2608,-90024,-360288,-1304,-1154304,-2464,-1376152,-270600,-1256288,-1374312,-274104,0,0,,298224
-197200,-306720,-762192,-2672,-103664,-406944,-1480,-940032,-2800,-1514536,-301760,-1416976,-1477584,-324648,0,0,,1840
-197200,-289680,-625680,-2624,-65472,-417312,-1392,-836352,-2656,-1552976,-305040,-1300112,-1294872,-299376,0,0,,197664
-176320,-287976,-762192,-2624,-16368,-383616,-1408,-877824,-2736,-1453032,-270600,-1102904,-1215432,-295488,0,0,,901368
-189080,-299904,-790632,-2672,-32736,-373248,-1472,-864000,-2832,-1422280,-298480,-1146728,-1461696,-318816,0,0,,305856
-226200,-301608,-574488,-2592,-109120,-391392,-1360,-988416,-2560,-1460720,-372280,-1285504,-1557024,-297432,0,0,,0
-227360,-311832,-745128,-2704,-117304,-393984,-1456,-981504,-2912,-1529912,-378840,-1358544,-1588800,-324648,0,0,,203520
-172840,-291384,-1023840,-2832,-32736,-355104,-1392,-822528,-2592,-1399216,-295200,-1205160,-1580856,-279936,0,0,,930248
-156600,-259008,-893016,-2752,0,-334368,-1400,-1043712,-2576,-1330024,-270600,-978736,-1390200,-287712,0,0,,317200
-209960,-294792,-693936,-2752,-87296,-386208,-1440,-1175040,-2880,-1491472,-354240,-1139424,-1374312,-332424,0,0,,2952
-219240,-327168,-682560,-2768,-120032,-435456,-1352,-884736,-2592,-1491472,-378840,-1336632,-1564968,-297432,0,0,,213280
-194880,-277752,-716688,-2656,-60016,-409536,-1480,-421632,-2880,-1376152,-321440,-1044472,-1414032,-320760,0,0,,962000
-203000,-252192,-654120,-2544,-70928,-368064,-1368,-532224,-2624,-1460720,-314880,-927608,-1151880,-301320,0,0,,329616
-199520,-247080,-796320,-2672,-51832,-324000,-1344,-1492992,-2560,-1529912,-309960,-1270896,-1421976,-287712,0,0,,1016
