F3 Value,FC6 Value,P7 Value,T8 Value,F7 Value,F8 Value,T7 Value,P8 Value,AF4 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value,X Value,Y Value,Z Value,Unknown Value
-139104,-222000,-819904,-1360,-285824,-349272,0,-894432,-2752,-1047504,-131712,-1328568,0,-2688,0,0,,320
-150192,-238280,-810992,-1352,-362208,-363528,0,-998976,-2464,-1070112,-142688,-1426096,0,-2480,0,0,,320
-147168,-245680,-753064,-1320,-399168,-368280,0,-983136,-2592,-1145472,-152096,-1312808,0,-2544,0,0,,320
-159264,-288600,-717416,0,-367136,-418176,0,-944832,-2672,-1303728,-149744,-1232840,0,-2592,0,0,,320
-152208,-269360,-712960,0,-342496,-384192,0,-1015056,-2480,-1220832,-148960,-1206184,0,-2416,0,0,,320
-129024,-211640,-708504,0,-340032,-324576,0,-919296,-2704,-1055040,-152096,-1139544,0,-2704,0,0,,320
-134064,-309048,-690680,0,-381920,-355488,0,-874608,-2576,-1137936,-150528,-1139544,0,-2512,0,0,,320
-158256,-341280,-757520,0,-413952,-397440,0,-861840,-2656,-1279888,-149744,-1199520,0,-2528,0,0,,320
-146160,-297672,-860008,0,-354816,-356776,0,-823536,-2752,-1195584,-140336,-1192856,0,-2640,0,0,,320
-106848,-297672,-842184,0,-312928,-312456,0,-893760,-2480,-1042304,-125440,-1132880,0,-2416,0,0,,320
-113904,-335104,-739696,0,-347424,-339048,0,-970368,-2624,-1111280,-137200,-1146208,0,-2736,0,0,,320
-140112,-340816,-695136,0,-391776,-398880,0,-970368,-2496,-1279888,-157584,-1226176,0,-2688,0,0,,620136
-156240,-354144,-735240,0,-409024,-416608,0,-1072512,-2528,-1394848,-164640,-1279488,0,-2656,0,0,,181712
-162288,-354144,-757520,0,-404096,-381152,0,-1136352,-2640,-1318208,-162288,-1226176,0,-2640,0,0,,664
