F3 Quality,FC6 Quality,P7 Quality,T8 Quality,F7 Quality,F8 Quality,T7 Quality,P8 Quality,AF4 Quality,F4 Quality,AF3 Quality,O2 Quality,O1 Quality,FC5 Quality,X Quality,Y Quality,Z Quality,Unknown Quality
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,24
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,16
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,8
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,8
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,8
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,16
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,24
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,8
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,16
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,8
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,8
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,24
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,24
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,24
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,24
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,8
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,16
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,24
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,24
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,8
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,16
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,8
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,24
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,24
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,8
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,8
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,0
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,24
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,8
936,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,24
1072,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,80,0,0,0,24
1072,1856,1232,320,912,1496,6864,928,0,3320,760,1112,7640,40,0,0,0,24
1072,1856,1232,320,912,1496,6864,928,0,3320,848,1112,7640,40,0,0,0,24
1072,1856,1232,320,904,1496,6864,928,0,3320,848,1112,7640,40,0,0,0,24
1072,1856,1232,320,904,1496,7104,928,0,3320,848,1112,7640,40,0,0,0,24
1072,1856,1528,320,904,1496,7104,928,0,3320,848,1112,7640,40,0,0,0,24
1072,1856,1528,320,904,1496,7104,928,0,3320,848,1112,7920,40,0,0,0,24
1072,1856,1528,320,904,1496,7104,928,0,3320,848,840,7920,40,0,0,0,24
1072,1856,1528,320,904,1496,7104,1168,0,3320,848,840,7920,40,0,0,0,24
1072,1856,1528,376,904,1496,7104,1168,0,3320,848,840,7920,40,0,0,0,24
1072,1856,1528,376,904,904,7104,1168,0,3320,848,840,7920,40,0,0,0,24
1072,1856,1528,376,904,904,7104,1168,8,3320,848,840,7920,40,0,0,0,24
1072,1240,1528,376,904,904,7104,1168,8,3320,848,840,7920,40,0,0,0,24
1072,1240,1528,376,904,904,7104,1168,8,3376,848,840,7920,40,0,0,0,24
1072,1240,1528,376,904,896,7104,1168,8,3376,848,840,7920,40,0,0,0,24
1072,1240,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,24
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,24
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,3384
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,912
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,24
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,1216
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,3368
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,896
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,0
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,1240
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,3368
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,904
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,8
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,1232
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,3384
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,904
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,16
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,1224
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,3360
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,896
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,8
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,1216
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,3360
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,912
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,0
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,1232
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,3360
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,904
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,0
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,1224
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,3360
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,912
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,0
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,1232
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,3360
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,920
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,24
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,1240
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,3384
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,912
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,24
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,1232
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,3368
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,920
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,8
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,1232
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,3384
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,912
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,0
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,1216
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,40,0,0,0,1216
1072,1216,1528,376,904,896,7104,1168,16,3376,848,840,7920,8080,0,0,0,1216
1072,1216,1528,376,904,896,7104,1168,16,3376,1040,840,7920,8080,0,0,0,1216
1072,1216,1528,376,736,896,7104,1168,16,3376,1040,840,7920,8080,0,0,0,1216
1072,1216,1528,376,736,896,7112,1168,16,3376,1040,840,7920,8080,0,0,0,1216
1072,1216,1384,376,736,896,7112,1168,16,3376,1040,840,7920,8080,0,0,0,1216
1072,1216,1384,376,736,896,7112,1168,16,3376,1040,840,7712,8080,0,0,0,1216
1072,1216,1384,376,736,896,7112,1168,16,3376,1040,872,7712,8080,0,0,0,1216
1072,1216,1384,376,736,896,7112,960,16,3376,1040,872,7712,8080,0,0,0,1216
1072,1216,1384,448,736,896,7112,960,16,3376,1040,872,7712,8080,0,0,0,1216
1072,1216,1384,448,736,752,7112,960,16,3376,1040,872,7712,8080,0,0,0,1216
1072,1216,1384,448,736,752,7112,960,24,3376,1040,872,7712,8080,0,0,0,1216
1072,1112,1384,448,736,752,7112,960,24,3376,1040,872,7712,8080,0,0,0,1216
1072,1112,1384,448,736,752,7112,960,24,3416,1040,872,7712,8080,0,0,0,1216
1072,1112,1384,448,736,760,7112,960,24,3416,1040,872,7712,8080,0,0,0,1216
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,1216
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,8
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,0
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,0
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,16
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,16
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,0
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,24
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,16
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,16
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,0
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,0
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,8
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,16
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,8
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,16
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,0
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,0
1072,1112,1384,448,736,760,7112,960,0,3416,1040,872,7712,8080,0,0,0,24
