T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-199.0,-157.0,-116.0,-170.5,-220.75
18.75,-9.25,-7.75,15.75,19.75
-171.25,-60.25,-53.5,-142.75,-186.75
-18.75,-28.0,-33.5,-24.0,-26.5
-143.75,3.75,-9.25,-113.25,-160.5
-19.25,-16.5,-50.75,-23.5,-26.0
-158.0,-45.75,-83.0,-132.75,-178.75
17.5,59.5,31.5,10.5,15.75
-195.0,-76.25,-101.75,-168.5,-215.5
32.25,106.0,43.0,31.75,31.0
-192.5,-53.25,-117.25,-164.75,-216.5
7.75,56.5,-26.75,7.0,5.75
-159.5,2.25,-26.25,-130.5,-175.25
-20.5,-14.75,-37.0,-28.5,-27.75
-145.75,15.5,-34.75,-114.75,-160.75
-15.0,47.25,-43.0,-15.5,-20.25
-167.5,-13.25,-92.75,-137.75,-190.75
28.5,113.0,53.25,27.25,26.0
-193.25,-75.5,-97.25,-165.25,-215.25
38.75,57.0,38.25,36.5,39.25
-177.5,-46.5,-86.75,-151.5,-198.0
4.5,41.0,-13.5,0.0,-1.0
-142.25,18.5,8.75,-114.0,-163.5
-15.75,-16.75,-38.75,-24.5,-27.25
-143.0,-32.0,-52.5,-113.75,-159.75
1.25,21.25,-15.5,-2.75,-4.25
-176.5,-61.0,-88.0,-151.5,-203.25
31.25,95.0,73.75,29.0,28.25
-198.25,-107.25,-104.0,-172.75,-223.75
27.0,21.25,8.5,22.0,22.0
-176.5,-82.5,-71.75,-147.0,-194.75
-12.0,-51.25,-25.0,-15.0,-17.75
-150.0,-48.5,4.0,-119.25,-168.25
-33.25,-85.0,-48.5,-33.75,-39.25
-163.0,-87.75,-74.25,-131.0,-180.75
-2.0,11.25,4.5,-4.75,-7.0
-201.0,-93.5,-107.75,-175.0,-223.5
24.75,86.25,48.5,20.25,23.75
-205.75,-92.5,-128.0,-182.25,-232.75
2.75,24.0,-27.75,-2.25,-2.25
-177.5,-32.5,-59.5,-148.25,-198.25
-29.25,-17.25,-42.5,-32.75,-37.5
-153.75,13.25,-20.5,-123.75,-166.75
-23.0,11.25,-52.25,-31.5,-29.25
-170.5,-29.25,-89.75,-146.75,-192.25
3.0,63.0,33.0,-2.0,4.25
-210.5,-92.5,-114.25,-186.0,-230.25
20.25,82.5,24.25,19.25,22.25
-202.25,-61.25,-124.25,-173.75,-220.0
-2.25,39.0,-39.5,-5.75,-5.0
-167.0,7.0,-33.75,-133.0,-182.0
-36.5,-25.25,-50.0,-34.75,-41.0
-154.5,-13.25,-46.5,-121.5,-170.25
-18.0,21.75,-45.0,-21.25,-24.0
-143.25,-25.25,-55.5,-118.25,-166.5
23.75,88.0,39.25,15.25,21.25
-166.25,-84.75,-77.5,-141.5,-189.5
27.75,26.75,2.0,23.0,24.0
-176.75,-80.25,-82.75,-151.75,-198.0
-8.75,-24.75,-25.25,-11.75,-14.75
-147.25,-21.0,4.25,-116.5,-164.75
-24.25,-61.75,-42.0,-31.5,-31.75
-156.0,-69.75,-65.5,-127.5,-174.0
-1.5,0.5,1.5,-5.75,-6.75
-196.0,-114.0,-99.0,-171.75,-218.25
25.25,61.25,56.0,21.0,24.5
-204.25,-128.0,-124.5,-180.0,-229.5
11.5,9.5,-19.25,5.25,7.75
-170.5,-45.0,-54.5,-145.5,-192.5
-23.0,-8.0,-34.5,-28.5,-33.25
-154.25,34.75,-16.75,-125.75,-171.5
-26.75,16.0,-57.25,-36.5,-36.25
-169.0,-24.25,-97.5,-145.5,-192.25
5.5,55.5,17.75,0.5,1.5
-204.0,-99.0,-113.0,-178.25,-228.5
22.25,84.75,28.75,19.0,20.5
-202.75,-54.5,-130.25,-178.25,-226.5
0.75,49.25,-40.5,-8.0,-9.25
-164.0,4.25,-39.5,-139.75,-187.5
-29.25,-22.75,-53.5,-37.75,-40.5
-153.5,-23.75,-49.5,-127.75,-172.25
-23.0,14.25,-52.25,-28.25,-24.75
-181.5,-36.75,-100.75,-154.25,-199.5
19.75,94.0,50.25,16.0,15.25
-201.0,-90.75,-111.25,-174.75,-226.25
30.5,38.75,16.0,25.75,27.0
-181.0,-68.0,-99.5,-157.5,-206.25
-2.5,23.0,-25.25,-8.0,-6.75
-152.0,15.25,0.5,-123.75,-168.75
-24.75,-28.25,-40.25,-32.25,-38.5
-149.5,-42.5,-54.75,-121.0,-173.0
-2.25,6.5,-14.5,-7.75,-13.75
-183.0,-82.5,-86.0,-156.5,-212.75
25.75,80.25,80.25,26.25,23.75
-203.25,-118.0,-99.25,-176.0,-227.75
20.0,5.5,9.0,17.5,14.25
-177.0,-71.75,-64.5,-148.5,-198.5
-9.75,-32.0,-22.5,-16.75,-19.5
-141.25,-29.0,7.75,-117.0,-163.75
-20.5,-58.75,-33.5,-30.25,-29.75
-154.5,-71.25,-58.75,-130.5,-176.5
7.0,23.75,27.25,1.75,-1.25
-194.0,-91.75,-85.0,-167.5,-219.75
33.0,83.75,64.25,27.75,28.25
-193.25,-92.0,-109.75,-172.0,-222.25
16.75,29.75,-9.75,8.5,8.0
-160.25,-11.75,-31.5,-137.25,-185.75
-14.0,9.25,-21.25,-23.25,-29.5
-138.5,39.25,-8.0,-112.5,-161.5
-9.75,28.5,-39.25,-20.0,-21.25
-158.25,-14.0,-79.75,-137.75,-182.75
22.75,86.75,50.0,13.5,18.5
-192.0,-77.25,-92.25,-172.0,-218.0
36.0,97.75,44.75,26.5,32.25
-187.0,-33.25,-101.5,-166.0,-212.5
7.25,60.0,-18.5,-2.0,-1.5
-152.75,33.0,-8.25,-129.25,-174.25
-19.75,-3.0,-33.5,-32.75,-33.0
-144.25,-16.5,-39.75,-121.0,-164.75
-7.25,25.0,-34.75,-16.75,-16.75
-173.25,-38.75,-96.25,-152.0,-200.75
24.0,94.0,54.0,18.5,18.75
-202.25,-96.25,-117.5,-179.75,-227.25
28.25,33.75,6.75,18.75,24.25
-180.0,-73.5,-91.0,-159.25,-204.75
-3.0,-5.0,-24.75,-14.5,-16.75
-143.75,-0.75,5.25,-121.75,-171.5
-24.0,-47.25,-42.5,-31.75,-40.5
-152.75,-69.5,-66.0,-127.25,-175.5
0.0,-13.25,-10.25,-7.0,-5.25
-185.75,-122.5,-94.0,-161.75,-210.75
32.75,41.75,69.75,24.5,26.25
-195.5,-134.0,-107.25,-176.25,-225.75
25.75,12.0,2.5,17.5,15.5
-163.5,-42.25,-53.25,-144.75,-191.25
-9.5,-20.75,-26.0,-23.5,-21.75
-142.0,-16.25,0.25,-117.5,-161.5
-21.5,-46.75,-42.75,-28.5,-31.75
-153.5,-36.25,-51.5,-127.5,-168.75
-17.5,-25.25,-64.5,-16.0,-19.5
-161.25,-43.25,-65.5,-132.0,-175.25
-19.25,-58.25,-76.0,-20.5,-20.0
-170.75,-95.75,-103.75,-137.75,-186.0
-0.75,12.0,-16.0,-2.5,0.25
-187.75,-97.25,-118.5,-165.0,-206.0
19.25,48.75,19.0,11.5,19.0
-190.0,-123.5,-125.75,-167.75,-209.75
8.0,-29.0,-38.75,1.0,3.5
-168.25,-50.25,-58.5,-134.75,-188.0
-12.5,-20.0,-37.5,-9.0,-17.5
-153.0,-34.0,-39.0,-119.0,-174.25
-7.25,-35.5,-32.75,-5.25,-15.25
-170.0,-99.75,-96.5,-139.0,-189.75
13.0,29.75,13.25,10.5,11.75
-188.5,-105.75,-105.0,-160.0,-204.75
18.75,29.25,21.75,19.5,23.5
-183.25,-105.75,-95.0,-151.5,-199.25
1.75,-19.75,-24.0,3.0,-1.25
-163.0,-28.25,-38.5,-128.0,-179.25
-16.75,-36.5,-49.25,-16.5,-18.5
-162.5,-72.75,-71.0,-130.0,-176.75
-10.5,-39.75,-46.75,-10.0,-6.75
-185.75,-119.5,-126.75,-153.75,-199.75
6.75,30.75,7.5,9.25,9.75
-200.75,-127.75,-122.5,-166.5,-214.5
4.75,-13.25,-1.25,10.0,9.75
-189.75,-110.25,-75.0,-152.25,-202.25
-18.25,-47.75,-16.25,-11.5,-13.0
-171.5,-42.5,-6.0,-133.25,-181.25
-27.5,-55.0,-14.0,-25.25,-26.0
-175.0,-97.0,-47.25,-141.25,-187.5
-9.5,-19.0,13.5,-9.75,-10.0
-195.25,-127.5,-94.25,-165.5,-215.25
8.5,18.75,37.0,8.0,8.5
-200.25,-145.25,-104.75,-174.0,-218.75
0.5,-33.0,-5.5,-4.5,-1.75
-178.75,-69.75,-41.5,-148.75,-196.75
-17.0,-31.25,-9.0,-18.5,-23.0
-164.75,-46.0,-13.5,-133.75,-186.5
-24.5,-68.5,-27.0,-25.75,-30.25
-184.25,-133.0,-82.0,-155.0,-204.5
-10.5,-14.0,13.0,-14.0,-13.75
-206.25,-139.25,-103.5,-178.25,-225.0
4.75,-1.25,28.75,2.75,4.0
-200.5,-152.25,-102.25,-175.25,-221.0
-8.75,-62.25,-26.25,-15.5,-13.0
-178.5,-79.5,-48.75,-150.75,-198.0
-29.0,-69.0,-44.25,-34.25,-34.0
-170.5,-85.5,-47.25,-142.75,-188.0
-20.5,-64.0,-25.5,-23.5,-23.75
-185.5,-123.5,-85.0,-157.0,-203.75
6.75,28.5,43.0,3.5,6.75
-198.25,-129.75,-98.25,-171.0,-215.5
6.75,-12.25,12.25,6.25,12.5
-192.5,-126.5,-86.0,-162.0,-204.0
-12.0,-43.5,-15.5,-14.75,-12.5
-166.5,-30.0,-5.25,-137.25,-182.75
-17.5,-35.75,-9.75,-23.0,-23.25
-160.25,-73.75,-33.75,-134.75,-181.25
-4.5,-24.75,9.5,-8.75,-6.0
-186.75,-122.25,-85.0,-157.5,-202.75
12.75,30.5,51.75,14.0,13.5
-195.5,-131.0,-84.0,-163.0,-212.75
7.25,-21.0,16.25,9.75,8.25
-180.0,-85.75,-50.25,-146.0,-197.75
-15.0,-31.25,-16.25,-15.5,-17.0
-165.25,-36.0,-23.75,-135.0,-180.75
-21.5,-54.0,-38.5,-24.25,-24.25
-173.0,-105.75,-77.5,-144.25,-190.0
-3.25,-10.75,1.75,-7.5,-6.0
-194.75,-131.5,-111.5,-169.0,-216.0
13.5,11.25,19.25,7.0,10.25
