F3 Value,FC6 Value,P7 Value,F7 Value,F8 Value,T7 Value,P8 Value,F4 Value,AF3 Value,O2 Value,O1 Value,FC5 Value
-20.75,-35.5,-87.5,31.25,-37.5,-156.75,-14.75,-143.0,-19.0,-49.25,-133.5,-168.75
-22.25,24.75,-89.25,-0.25,17.5,-43.25,-20.5,-24.5,-0.5,-110.0,-47.0,-43.5
45.75,57.75,3.5,84.25,63.25,-122.75,62.25,-122.5,56.25,43.5,-98.0,-132.5
-93.5,-36.0,-111.5,-100.5,-42.75,-67.75,-81.25,-34.5,-71.0,-128.5,-69.0,-69.75
-25.0,-10.0,-39.5,-15.25,-5.75,-124.75,-19.5,-131.5,-17.0,-14.5,-97.25,-132.75
-38.5,17.0,-99.25,-57.75,15.75,-47.5,-49.75,-17.0,-10.5,-110.0,-47.0,-46.5
-10.25,-17.0,-73.25,-6.75,-16.25,-160.5,-13.25,-156.0,-3.5,-50.75,-131.0,-171.75
67.0,113.25,-15.0,26.25,109.75,-13.0,58.0,1.25,83.5,-14.75,-9.25,-9.0
-56.75,-60.75,-99.5,-68.5,-50.75,-171.0,-51.75,-161.25,-52.0,-61.0,-145.25,-188.75
-38.5,-2.0,-54.25,-46.5,-7.5,-14.0,-35.0,-6.5,-17.5,-81.0,-10.0,-11.5
-55.25,-65.5,-61.0,-24.0,-65.0,-145.5,-35.25,-138.75,-54.75,-29.0,-118.0,-158.5
-99.5,-74.75,-94.25,-110.25,-73.75,-52.25,-82.75,-34.25,-96.0,-119.25,-53.75,-57.0
18.0,-15.75,3.75,17.5,-5.75,-122.25,32.75,-127.25,-2.5,42.25,-92.5,-131.5
-100.75,-83.0,-122.0,-135.0,-79.25,-69.25,-104.25,-39.25,-112.5,-134.0,-71.5,-74.5
-35.0,-61.25,-50.75,-37.75,-50.25,-136.0,-33.5,-144.25,-52.75,-26.75,-108.5,-149.5
-45.25,-23.5,-67.5,-70.5,-25.0,-42.0,-57.25,-16.0,-48.5,-79.0,-40.0,-41.0
-65.75,-115.75,-80.75,-57.75,-112.75,-172.0,-64.5,-168.0,-97.75,-59.0,-146.0,-187.25
43.75,22.5,-18.5,27.5,21.75,-16.75,40.5,-4.5,22.0,-27.5,-12.75,-9.75
-29.5,-94.75,-106.25,-17.25,-88.0,-178.75,-36.75,-161.5,-62.5,-69.75,-152.25,-190.0
3.0,-8.75,-71.0,-5.25,-14.0,-31.25,-8.25,-16.0,-11.75,-89.0,-29.75,-27.0
22.25,-9.5,-31.75,32.5,-8.5,-144.0,30.0,-129.75,5.25,8.25,-115.0,-151.25
-68.25,-33.0,-102.5,-83.25,-41.5,-67.75,-59.75,-35.0,-63.0,-119.5,-67.5,-70.25
50.75,38.75,-5.25,77.75,36.75,-121.5,60.75,-125.25,45.75,35.75,-91.25,-131.5
-31.75,6.5,-119.25,-13.0,-2.5,-62.0,-36.25,-29.75,-12.75,-121.0,-63.0,-66.25
9.0,2.75,-64.0,56.0,1.75,-142.0,9.0,-147.75,15.0,-31.5,-118.25,-155.5
13.75,50.25,-41.0,21.0,42.5,-28.0,10.75,-7.0,28.0,-34.0,-27.75,-21.5
-66.5,-83.0,-89.0,-44.25,-81.5,-175.25,-50.75,-165.25,-74.5,-52.0,-148.5,-187.0
