T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-272.75,-103.25,-140.25,-183.25,-147.25
134.5,106.5,92.0,56.5,0.75
-260.0,-77.0,-107.5,-170.0,-136.75
132.5,87.75,96.25,54.75,-2.5
-277.25,-148.5,-168.5,-188.25,-157.0
148.25,155.75,139.0,73.5,15.0
-304.5,-177.5,-207.5,-219.25,-185.25
152.0,127.25,115.5,72.75,20.0
-307.25,-212.0,-233.25,-224.0,-187.5
130.75,53.25,52.0,51.75,-4.5
-294.75,-142.75,-177.5,-205.75,-172.5
99.0,20.5,8.25,18.75,-36.75
-296.25,-185.5,-215.5,-209.0,-173.0
103.25,8.5,-1.5,20.25,-31.75
-315.25,-238.5,-276.75,-233.5,-194.5
123.5,99.25,73.0,47.0,-7.5
-334.5,-247.0,-279.75,-249.25,-215.25
123.5,48.25,35.5,44.0,-9.75
-326.25,-252.25,-285.75,-245.25,-208.25
104.0,1.0,-24.0,19.75,-34.0
-303.25,-167.0,-220.25,-219.0,-183.0
89.0,-10.5,-20.0,8.0,-48.0
-303.25,-217.5,-240.75,-215.5,-182.75
109.0,28.0,16.75,27.75,-29.5
-322.0,-247.0,-289.75,-240.5,-204.75
130.75,98.0,61.75,52.5,-0.75
-326.5,-253.25,-288.75,-244.25,-207.75
131.0,34.25,32.5,48.5,-4.25
-304.25,-195.25,-220.5,-219.0,-182.0
116.75,40.75,27.75,34.5,-19.75
-280.5,-136.75,-173.5,-194.75,-160.0
108.75,23.25,23.0,28.5,-23.0
-296.5,-203.75,-225.0,-210.5,-169.0
122.0,74.5,66.5,41.25,-8.0
-321.0,-226.0,-250.0,-239.5,-200.0
140.75,104.0,97.0,61.25,6.5
-314.25,-246.75,-255.75,-231.25,-200.25
134.75,40.25,48.25,55.0,-1.0
-289.75,-147.0,-179.5,-202.5,-161.75
117.5,56.75,42.25,36.0,-14.5
-273.0,-124.25,-150.75,-187.75,-150.75
127.75,54.5,68.0,43.25,-9.25
-279.75,-180.75,-189.0,-197.0,-162.5
157.0,149.5,149.75,78.0,22.5
-294.0,-175.5,-190.5,-212.0,-175.0
164.25,139.0,144.0,86.5,31.25
-291.75,-174.0,-178.0,-204.25,-171.75
142.5,87.5,97.25,66.0,8.5
-271.25,-91.75,-112.75,-179.5,-149.0
126.5,76.5,87.75,47.0,-13.5
-265.25,-130.0,-136.25,-178.5,-147.0
139.25,90.75,105.25,62.25,2.75
-288.75,-218.5,-208.5,-202.75,-173.0
148.25,81.25,90.5,70.5,11.0
-308.5,-224.75,-226.0,-214.5,-190.5
123.5,28.5,34.5,47.25,-20.25
-297.5,-158.0,-183.0,-203.75,-180.0
101.75,18.5,20.5,28.25,-37.25
-288.0,-178.5,-191.25,-198.0,-172.5
116.0,25.0,42.25,38.0,-24.25
-301.5,-218.25,-231.75,-213.5,-185.75
141.0,121.0,108.0,66.25,1.5
