T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-149.5,33.5,119.0,67.25,40.5
-149.5,0.25,22.25,-5.25,32.0
-153.75,22.0,127.5,60.0,33.5
-149.5,38.5,49.0,54.0,33.0
-153.25,47.0,96.0,58.75,24.5
-156.75,26.5,90.25,23.5,32.5
-155.5,-9.5,65.25,11.5,27.25
-158.75,27.5,50.25,2.0,23.0
-163.25,-51.0,8.5,-27.75,4.75
-181.5,34.0,75.5,42.25,-19.0
-208.75,12.5,30.25,-21.5,-41.75
-208.75,-6.0,10.25,-17.75,-36.5
-190.75,-30.75,16.25,-26.0,-30.0
-181.75,32.5,74.75,15.0,-37.25
-192.75,45.25,99.0,18.0,-21.25
-173.25,-14.5,23.0,-34.5,0.25
-157.5,7.25,75.5,-1.0,23.25
-158.75,63.5,138.5,31.0,31.25
-147.75,-2.5,74.75,2.0,36.5
-148.75,-71.75,69.0,-30.25,33.0
-145.75,41.25,44.75,-0.75,23.25
-134.5,10.25,92.0,-12.25,46.75
-120.75,-64.25,-11.5,-22.0,65.25
-108.5,-31.25,25.75,0.0,51.5
-132.5,-104.5,12.25,-28.0,-8.25
-81.0,-182.5,-196.25,-158.25,-67.75
-118.25,-195.75,-217.0,-173.25,-109.5
-142.5,-176.25,-191.0,-155.75,-141.0
-165.0,-172.25,-181.75,-173.0,-155.0
-172.5,-186.25,-201.5,-178.0,-159.5
-182.75,-161.25,-170.75,-167.75,-171.0
-190.0,-186.25,-194.5,-190.25,-181.25
-201.5,-167.75,-185.5,-175.5,-189.25
-282.25,-206.5,-221.25,-220.0,-290.0
-283.5,-187.75,-205.5,-224.0,-292.25
-158.75,-174.75,-177.25,-163.25,-154.25
-167.0,-178.0,-180.0,-142.0,-160.5
-153.0,-207.0,-208.25,-216.5,-160.0
-84.5,-217.5,-195.25,-163.5,-86.25
-112.25,-211.0,-203.25,-184.5,-117.75
-143.25,-203.0,-196.5,-193.25,-153.75
-161.75,-188.25,-200.25,-184.25,-170.75
-175.25,-182.75,-181.5,-168.25,-185.0
-190.5,-183.5,-181.75,-194.5,-203.75
-220.0,-212.75,-214.25,-220.5,-237.5
-342.25,-191.75,-207.5,-230.25,-375.25
-177.5,-185.75,-203.5,-200.25,-183.75
-170.75,-196.25,-179.75,-184.25,-175.5
