T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
-135.5,-71.5,-104.75,-127.75,-164.75
178.5,135.75,291.25,168.0,200.25
-156.5,-77.5,-119.75,-150.0,-189.25
165.75,119.25,223.5,160.25,183.5
-142.25,10.5,-78.5,-132.0,-173.25
112.25,59.25,182.0,106.0,121.5
-120.75,1.25,-33.75,-104.0,-149.75
99.5,38.5,164.5,91.5,105.5
-126.0,-30.75,-100.75,-116.5,-164.75
126.0,130.0,215.5,116.75,134.25
-175.25,-71.0,-136.25,-168.0,-214.75
144.25,102.5,237.0,135.0,156.25
-200.25,-133.75,-182.25,-193.75,-236.75
108.5,37.25,137.75,100.5,121.0
-176.0,-53.75,-129.5,-167.0,-208.75
59.25,20.75,99.0,48.5,68.0
-156.0,14.0,-123.25,-145.75,-186.5
66.0,44.75,81.5,53.5,73.5
-182.25,-41.25,-193.75,-174.75,-215.75
99.0,128.0,167.25,89.0,113.0
-217.25,-109.5,-214.25,-212.25,-255.25
113.25,102.75,155.75,103.25,128.5
-243.75,-181.25,-284.25,-243.25,-281.25
56.25,21.25,50.75,41.25,69.25
-300.25,-287.25,-383.5,-304.75,-335.0
-11.0,-123.25,-72.75,-32.75,1.5
-341.75,-392.75,-510.0,-348.75,-378.75
-55.75,-257.25,-214.0,-84.25,-47.75
-341.0,-369.0,-498.5,-351.5,-377.5
-95.75,-321.75,-262.25,-124.5,-90.0
-330.75,-360.0,-496.75,-337.25,-364.25
-91.0,-312.0,-275.25,-112.5,-81.0
-349.25,-415.75,-551.25,-347.5,-382.25
-70.0,-236.75,-192.75,-83.25,-56.0
-374.25,-445.5,-562.25,-373.0,-409.75
-58.25,-267.25,-195.5,-71.5,-44.0
-362.25,-439.5,-552.0,-357.0,-394.0
-75.25,-301.5,-243.75,-89.5,-61.5
-336.0,-345.25,-465.25,-326.25,-362.75
-96.75,-301.75,-232.25,-101.25,-80.75
-330.0,-375.0,-470.75,-315.75,-354.5
-77.75,-278.75,-205.75,-86.25,-57.25
-343.5,-395.75,-509.25,-337.25,-368.75
-41.5,-172.5,-123.25,-55.75,-21.25
-347.75,-374.5,-491.75,-345.5,-375.0
-30.0,-198.75,-125.0,-38.75,-11.25
-317.75,-322.75,-426.5,-308.5,-348.5
-39.75,-192.5,-133.75,-49.5,-26.25
-279.75,-216.0,-343.5,-269.75,-308.5
-37.0,-177.0,-113.25,-49.25,-26.25
-272.5,-253.25,-360.0,-265.5,-304.25
-8.5,-122.5,-53.0,-22.5,2.0
-291.5,-262.5,-382.75,-291.25,-331.75
17.75,-44.0,1.75,3.75,29.25
-290.5,-259.75,-372.0,-286.25,-323.0
21.0,-81.75,-13.75,12.25,35.0
-248.75,-149.0,-256.5,-237.5,-279.0
21.0,-46.75,21.25,11.75,33.0
-212.5,-80.5,-192.75,-201.5,-242.5
27.0,-50.0,29.75,15.75,40.0
-220.0,-147.5,-246.5,-213.25,-251.75
55.0,31.75,101.0,46.25,66.25
-238.25,-138.75,-244.25,-233.5,-276.0
82.25,59.5,130.75,69.75,94.25
-221.75,-147.75,-238.0,-219.0,-258.5
76.0,3.25,87.75,58.25,84.5
-184.5,-42.25,-145.0,-182.5,-220.75
66.75,25.25,104.0,51.25,70.25
-163.5,-21.75,-116.0,-156.5,-202.5
84.5,44.5,139.25,75.75,88.0
-174.5,-52.75,-134.0,-164.0,-216.0
114.0,156.0,240.75,105.25,121.0
-197.25,-57.0,-139.5,-190.0,-238.75
105.5,106.25,207.5,102.5,115.0
-205.5,-81.75,-158.0,-190.75,-241.0
72.5,38.75,125.75,68.0,81.25
-181.25,-0.25,-103.0,-166.75,-213.75
61.5,30.25,111.0,51.75,71.0
-171.0,-44.25,-136.0,-162.5,-203.5
79.5,55.75,149.0,74.0,92.5
-195.0,-65.0,-154.25,-180.25,-228.0
113.25,159.0,235.25,110.5,126.0
-194.75,-59.75,-143.75,-181.0,-233.5
119.0,107.25,206.5,116.75,127.5
-171.5,-19.25,-97.25,-157.0,-209.75
87.75,78.25,171.75,82.75,90.25
-160.5,33.25,-57.5,-148.5,-200.75
68.5,35.0,130.0,57.25,66.75
-180.75,-69.0,-152.75,-175.0,-227.5
80.75,68.5,155.5,65.5,82.0
-213.25,-99.25,-197.25,-214.0,-257.75
93.75,101.5,169.5,75.25,96.75
-218.5,-126.25,-222.5,-223.25,-264.75
85.5,23.75,100.25,64.25,83.5
-188.0,-49.25,-159.0,-187.0,-234.75
72.25,37.25,111.5,54.5,69.75
-156.75,1.5,-96.75,-152.75,-197.75
81.75,41.0,136.5,71.0,84.25
-172.5,-55.5,-134.75,-162.0,-215.75
102.25,131.0,214.75,97.25,104.5
-204.5,-68.25,-163.25,-195.25,-251.75
106.75,108.25,186.5,94.25,107.75
-209.5,-108.5,-198.25,-208.25,-254.75
69.0,10.25,93.5,52.25,70.5
-198.75,-52.0,-154.25,-196.25,-239.0
40.25,-19.0,59.0,21.0,38.25
-195.0,-93.0,-193.5,-195.5,-241.75
52.25,-27.5,55.0,32.5,47.5
-216.0,-142.0,-243.5,-217.0,-265.75
74.0,65.75,129.5,58.75,73.75
-236.75,-155.25,-253.25,-234.75,-284.5
78.0,19.75,103.5,65.0,79.0
-221.75,-131.75,-223.75,-213.5,-266.25
50.5,-9.0,69.75,45.0,49.0
